"airport","flight_count","delay_count","avg_duration","avg_distance","total_distance","avg_depart_delay","avg_arrival_delay"
"11315",61,4,91.0655737704918,481,29341,3.70491803278689,0.426229508196721
"11337",223,52,78.0723981900452,272.201793721973,60701,3.01801801801802,5.19909502262443
"11413",178,31,95.6628571428571,503.286516853933,89585,9.92655367231638,5.02857142857143
"11423",710,157,109.302987197724,583.054929577465,413969,4.64022662889518,-1.39544807965861
"11433",9925,2708,123.110402752479,696.097934508816,6908772,4.91791195476575,-0.847702894150982
"11447",49,8,75.8125,332.183673469388,16277,-1.63265306122449,-6.72916666666667
"11471",62,14,73.1290322580645,269,16678,11.5,5.95161290322581
"11481",376,50,82.951871657754,381.643617021277,143498,1.65159574468085,-3.05080213903743
"11503",4,2,124.5,721,2884,-8.5,-16
"11525",53,27,55.8867924528302,200,10600,-5.50943396226415,-3.62264150943396
"11537",195,299,95.748717948718,400.4,78078,0.220512820512821,4.83589743589744
"11540",1046,8,107.858108108108,646.306883365201,676037,5.94433781190019,1.41312741312741
"11577",57,3,98.0526315789474,398,22686,-4.31578947368421,-6.19298245614035
"11587",53,65,72.0384615384615,306,16218,9.51923076923077,7.96153846153846
"11603",328,74,109.48,602.801829268293,197719,4.10736196319018,0.209230769230769
"11612",399,11,86.469696969697,335.739348370927,133960,6.87405541561713,4.99747474747475
"11617",55,3456,92.8,433,23815,3.69090909090909,3.58181818181818
"11618",9622,24,176.595919225915,1065.5035335689,10252275,8.4591815320042,-1.89955826672276
"11624",151,29,101.76821192053,552.841059602649,83479,-2.80794701986755,-5.86754966887417
"11630",177,110,162.801136363636,1087.4406779661,192477,-2.86931818181818,-3.06818181818182
"11637",527,121,96.2241379310345,474.204933586338,249906,3.01526717557252,-0.532567049808429
"11638",656,31,106,554.420731707317,363700,4.49617151607963,3.92036753445636
"11641",150,12,80.96,331,49650,3.66,-0.773333333333333
"11648",123,58,112.081300813008,642.39837398374,79015,-6.08130081300813,-9.02439024390244
